RoboCar Sensor Log
Started at: 2025-05-13T12:52:19.137691
================================================================================
[2025-05-13T12:52:19.637830] POS: (0.08, 0.00, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 1.00m | MAG: -0.18 | VIB: NO | ALC: 0.12
[2025-05-13T12:52:20.137855] POS: (0.18, 0.01, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.97m | MAG: 0.16 | VIB: NO | ALC: 0.10
[2025-05-13T12:52:20.637930] POS: (0.27, 0.01, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: -0.12 | VIB: NO | ALC: 0.01
[2025-05-13T12:52:21.137872] POS: (0.37, 0.02, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.96m | MAG: 0.06 | VIB: NO | ALC: 0.05
[2025-05-13T12:52:21.637835] POS: (0.47, 0.02, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.95m | MAG: 0.04 | VIB: YES | ALC: 0.13
[2025-05-13T12:52:22.137853] POS: (0.55, 0.03, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 1.05m | MAG: -0.12 | VIB: NO | ALC: 0.08
[2025-05-13T12:52:22.637955] POS: (0.65, 0.04, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: -0.11 | VIB: NO | ALC: 0.12
[2025-05-13T12:52:23.138124] POS: (0.75, 0.05, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: 0.17 | VIB: NO | ALC: 0.11
[2025-05-13T12:52:23.638333] POS: (0.85, 0.06, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: 0.07 | VIB: NO | ALC: 0.19
[2025-05-13T12:52:24.137901] POS: (0.95, 0.07, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 1.03m | MAG: 0.03 | VIB: NO | ALC: 0.18
[2025-05-13T12:52:24.637979] POS: (1.05, 0.08, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 1.00m | MAG: 0.18 | VIB: NO | ALC: 0.04
[2025-05-13T12:52:25.137980] POS: (1.13, 0.09, 8.6°) | VEL: linear=0.20, angular=0.00 | US: 0.95m | MAG: -0.09 | VIB: YES | ALC: 0.11
[2025-05-13T12:52:25.637916] POS: (1.23, 0.11, 8.6°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: 0.10 | VIB: NO | ALC: 0.10
[2025-05-13T12:52:26.137925] POS: (1.33, 0.12, 8.6°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: -0.20 | VIB: NO | ALC: 0.14
[2025-05-13T12:52:26.638056] POS: (1.43, 0.14, 8.6°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: -0.16 | VIB: NO | ALC: 0.06
[2025-05-13T12:52:27.137953] POS: (1.51, 0.15, 11.5°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: 0.05 | VIB: NO | ALC: 0.15
[2025-05-13T12:52:27.638145] POS: (1.60, 0.17, 11.5°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: 0.07 | VIB: NO | ALC: 0.00
[2025-05-13T12:52:28.137927] POS: (1.68, 0.19, 14.3°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: 0.14 | VIB: NO | ALC: 0.00
[2025-05-13T12:52:28.637833] POS: (1.76, 0.21, 17.2°) | VEL: linear=0.20, angular=0.00 | US: 0.43m | MAG: -0.10 | VIB: NO | ALC: 0.07
[2025-05-13T12:52:29.137874] POS: (1.83, 0.23, 20.0°) | VEL: linear=0.20, angular=0.00 | US: 1.00m | MAG: 0.20 | VIB: NO | ALC: 0.10
[2025-05-13T12:52:29.637906] POS: (1.93, 0.27, 20.0°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: 0.03 | VIB: NO | ALC: 0.06
[2025-05-13T12:52:30.137912] POS: (2.00, 0.30, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 0.95m | MAG: 0.04 | VIB: NO | ALC: 0.06
[2025-05-13T12:52:30.638161] POS: (2.08, 0.33, 25.8°) | VEL: linear=0.20, angular=0.00 | US: 1.00m | MAG: -0.03 | VIB: NO | ALC: 0.18
[2025-05-13T12:52:31.137859] POS: (2.15, 0.37, 28.6°) | VEL: linear=0.20, angular=0.00 | US: 0.32m | MAG: 0.06 | VIB: NO | ALC: 0.05
[2025-05-13T12:52:31.637864] POS: (2.23, 0.42, 28.6°) | VEL: linear=0.20, angular=0.00 | US: 0.34m | MAG: -0.02 | VIB: NO | ALC: 0.09
[2025-05-13T12:52:32.138142] POS: (2.32, 0.46, 28.6°) | VEL: linear=0.20, angular=0.00 | US: 0.48m | MAG: 0.10 | VIB: NO | ALC: 0.05
[2025-05-13T12:52:32.637927] POS: (2.41, 0.51, 28.6°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: -0.01 | VIB: YES | ALC: 0.10
[2025-05-13T12:52:33.137880] POS: (2.48, 0.55, 31.5°) | VEL: linear=0.00, angular=0.50 | US: 0.25m | MAG: -0.16 | VIB: NO | ALC: 0.06
[2025-05-13T12:52:33.637979] POS: (2.57, 0.60, 31.5°) | VEL: linear=0.20, angular=0.00 | US: 0.97m | MAG: 0.03 | VIB: NO | ALC: 0.13
[2025-05-13T12:52:34.137872] POS: (2.65, 0.65, 31.5°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: -0.14 | VIB: NO | ALC: 0.14
[2025-05-13T12:52:34.637926] POS: (2.74, 0.71, 31.5°) | VEL: linear=0.20, angular=0.00 | US: 0.50m | MAG: 0.16 | VIB: NO | ALC: 0.08
[2025-05-13T12:52:35.137865] POS: (2.80, 0.75, 34.4°) | VEL: linear=0.20, angular=0.00 | US: 0.45m | MAG: -0.13 | VIB: NO | ALC: 0.11
