RoboCar Sensor Log
Started at: 2025-05-13T12:53:51.872756
================================================================================
[2025-05-13T12:53:52.372947] POS: (0.09, 0.00, 0.0°) | VEL: linear=0.20, angular=0.00 | US: 0.97m | MAG: 0.01 | VIB: NO | ALC: 0.15
[2025-05-13T12:53:52.872923] POS: (0.17, 0.00, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.96m | MAG: 0.04 | VIB: NO | ALC: 0.13
[2025-05-13T12:53:53.372934] POS: (0.27, 0.01, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.97m | MAG: -0.18 | VIB: NO | ALC: 0.20
[2025-05-13T12:53:53.872953] POS: (0.37, 0.01, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.96m | MAG: 0.05 | VIB: NO | ALC: 0.07
[2025-05-13T12:53:54.372931] POS: (0.45, 0.02, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 1.05m | MAG: -0.08 | VIB: NO | ALC: 0.03
[2025-05-13T12:53:54.872898] POS: (0.55, 0.03, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 0.98m | MAG: -0.14 | VIB: YES | ALC: 0.11
[2025-05-13T12:53:55.372926] POS: (0.65, 0.04, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: -0.09 | VIB: NO | ALC: 0.07
[2025-05-13T12:53:55.873093] POS: (0.73, 0.05, 8.6°) | VEL: linear=0.20, angular=0.00 | US: 1.03m | MAG: 0.08 | VIB: YES | ALC: 0.15
[2025-05-13T12:53:56.372932] POS: (0.82, 0.06, 8.6°) | VEL: linear=0.20, angular=0.00 | US: 0.98m | MAG: -0.09 | VIB: NO | ALC: 0.11
[2025-05-13T12:53:56.872943] POS: (0.92, 0.08, 8.6°) | VEL: linear=0.20, angular=0.00 | US: 0.97m | MAG: 0.08 | VIB: NO | ALC: 0.03
[2025-05-13T12:53:57.372914] POS: (0.96, 0.09, 17.2°) | VEL: linear=0.20, angular=0.00 | US: 0.40m | MAG: 0.18 | VIB: NO | ALC: 0.20
[2025-05-13T12:53:57.872931] POS: (1.06, 0.12, 17.2°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: 0.12 | VIB: NO | ALC: 0.12
[2025-05-13T12:53:58.372931] POS: (1.15, 0.15, 17.2°) | VEL: linear=0.20, angular=0.00 | US: 0.37m | MAG: -0.10 | VIB: NO | ALC: 0.10
[2025-05-13T12:53:58.872933] POS: (1.23, 0.17, 20.0°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: -0.08 | VIB: NO | ALC: 0.02
[2025-05-13T12:53:59.372959] POS: (1.32, 0.21, 20.0°) | VEL: linear=0.20, angular=0.00 | US: 1.00m | MAG: -0.02 | VIB: YES | ALC: 0.01
