RoboCar Sensor Log
Started at: 2025-05-13T14:56:11.948097
================================================================================
[2025-05-13T14:56:12.448264] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.12 | VIB: YES | ALC: 0.18
[2025-05-13T14:56:12.948264] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: 0.14 | VIB: NO | ALC: 0.18
[2025-05-13T14:56:13.448381] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.19 | VIB: NO | ALC: 0.17
[2025-05-13T14:56:13.948281] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.44m | MAG: -0.08 | VIB: NO | ALC: 0.02
[2025-05-13T14:56:14.448324] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.27m | MAG: -0.10 | VIB: NO | ALC: 0.17
[2025-05-13T14:56:14.948281] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.09 | VIB: NO | ALC: 0.16
[2025-05-13T14:56:15.448301] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: -0.05 | VIB: NO | ALC: 0.06
[2025-05-13T14:56:15.948257] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: 0.03 | VIB: NO | ALC: 0.09
[2025-05-13T14:56:16.448342] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.46m | MAG: -0.12 | VIB: NO | ALC: 0.15
[2025-05-13T14:56:16.948319] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.12 | VIB: NO | ALC: 0.04
[2025-05-13T14:56:17.448323] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.17 | VIB: NO | ALC: 0.11
