RoboCar Sensor Log
Started at: 2025-05-13T17:33:19.213985
================================================================================
[2025-05-13T17:33:19.714138] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.00 | VIB: YES | ALC: 0.14
[2025-05-13T17:33:20.214193] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: 0.19 | VIB: NO | ALC: 0.19
[2025-05-13T17:33:20.714142] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.09 | VIB: NO | ALC: 0.01
[2025-05-13T17:33:21.214152] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: 0.19 | VIB: NO | ALC: 0.11
[2025-05-13T17:33:21.714153] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: 0.01 | VIB: NO | ALC: 0.05
[2025-05-13T17:33:22.214149] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: -0.09 | VIB: NO | ALC: 0.16
[2025-05-13T17:33:22.714164] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.02 | VIB: NO | ALC: 0.14
[2025-05-13T17:33:23.214286] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.13 | VIB: NO | ALC: 0.03
[2025-05-13T17:33:23.714126] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.50m | MAG: 0.14 | VIB: NO | ALC: 0.10
[2025-05-13T17:33:24.214290] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.02 | VIB: NO | ALC: 0.16
[2025-05-13T17:33:24.714108] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.16 | VIB: NO | ALC: 0.00
[2025-05-13T17:33:25.214286] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.20m | MAG: 0.11 | VIB: NO | ALC: 0.18
[2025-05-13T17:33:25.714170] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.05 | VIB: NO | ALC: 0.03
[2025-05-13T17:33:26.214305] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.35m | MAG: -0.16 | VIB: NO | ALC: 0.14
[2025-05-13T17:33:26.714244] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.18 | VIB: NO | ALC: 0.14
